epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.2846,2.08372,2.70976,1.43393,0.65598,0.27657,0.23598,0.10735,1.84773,1.54996,1.3715,0.000255012,0.000255012,0.000255012
2,183.683,1.80158,1.47725,1.29352,0.60716,0.32694,0.32223,0.15722,1.77445,1.3147,1.31701,0.000510846,0.000510846,0.000510846
3,302.868,1.73661,1.35293,1.26674,0.63516,0.33054,0.3518,0.17861,1.70304,1.27741,1.29617,0.000764682,0.000764682,0.000764682
4,395.523,1.69646,1.27423,1.25557,0.78879,0.33448,0.36633,0.19378,1.61244,1.17644,1.24904,0.000762258,0.000762258,0.000762258
5,514.603,1.64895,1.20359,1.22759,0.81552,0.36722,0.43229,0.23376,1.55987,1.07685,1.227,0.000757041,0.000757041,0.000757041
6,609.486,1.59471,1.14473,1.20365,0.82952,0.38768,0.55375,0.29446,1.54547,1.04338,1.20703,0.000750369,0.000750369,0.000750369
7,709.995,1.54951,1.08666,1.18144,0.77758,0.4547,0.56232,0.30722,1.51798,1.04061,1.19862,0.000742269,0.000742269,0.000742269
8,824.603,1.52371,1.05432,1.17242,0.80964,0.52634,0.634,0.36957,1.46119,0.93543,1.17571,0.000732772,0.000732772,0.000732772
9,945.458,1.4934,1.01552,1.16107,0.49228,0.62412,0.62734,0.3452,1.41128,0.90459,1.1474,0.000721916,0.000721916,0.000721916
10,1058.4,1.48645,1.00303,1.15669,0.7032,0.65436,0.65902,0.37743,1.41289,0.90197,1.14682,0.000709743,0.000709743,0.000709743
11,1161.55,1.4535,0.95891,1.13875,0.77826,0.59463,0.68112,0.40788,1.36757,0.86929,1.12778,0.000696301,0.000696301,0.000696301
12,1258.34,1.424,0.94675,1.12689,0.69952,0.53056,0.61327,0.34964,1.35633,0.84585,1.12521,0.000681645,0.000681645,0.000681645
13,1357.4,1.41065,0.92805,1.12116,0.7103,0.55128,0.64382,0.38681,1.33434,0.82783,1.11599,0.000665831,0.000665831,0.000665831
14,1453.46,1.39622,0.90755,1.11939,0.73429,0.61608,0.6958,0.42187,1.29746,0.81395,1.10097,0.000648921,0.000648921,0.000648921
15,1604.01,1.36935,0.89182,1.10438,0.68625,0.70819,0.73056,0.43384,1.31395,0.78656,1.10147,0.000630984,0.000630984,0.000630984
16,1703.2,1.35666,0.86861,1.09631,0.80723,0.54339,0.68585,0.42572,1.27668,0.77963,1.09384,0.000612088,0.000612088,0.000612088
17,1799.69,1.34425,0.8579,1.09704,0.79586,0.65819,0.75679,0.46557,1.26139,0.76361,1.08358,0.00059231,0.00059231,0.00059231
18,1905.83,1.32892,0.84062,1.08588,0.82141,0.71039,0.7793,0.47693,1.23822,0.72085,1.0701,0.000571727,0.000571727,0.000571727
19,2005.05,1.30712,0.81672,1.08338,0.80649,0.70378,0.77117,0.47783,1.24135,0.76024,1.07199,0.00055042,0.00055042,0.00055042
20,2108.58,1.28887,0.80594,1.07702,0.7334,0.71034,0.76564,0.48641,1.2191,0.71565,1.06067,0.000528473,0.000528473,0.000528473
21,2249.34,1.28431,0.78429,1.06949,0.79064,0.73845,0.78456,0.50543,1.17053,0.69353,1.04653,0.000505974,0.000505974,0.000505974
22,2348.74,1.25142,0.77036,1.05663,0.8039,0.75667,0.82474,0.51871,1.17107,0.67655,1.0407,0.00048301,0.00048301,0.00048301
23,2472.99,1.23552,0.75292,1.0452,0.8373,0.74347,0.83665,0.52492,1.13949,0.67009,1.0317,0.000459673,0.000459673,0.000459673
24,3287.69,1.23466,0.74636,1.05071,0.84503,0.76108,0.81612,0.53515,1.12799,0.65319,1.02087,0.000436054,0.000436054,0.000436054
25,3374.74,1.2188,0.73107,1.04417,0.77635,0.77896,0.83233,0.53265,1.15166,0.64332,1.03024,0.000412247,0.000412247,0.000412247
26,3464.76,1.20467,0.7224,1.03366,0.80268,0.78947,0.83589,0.55583,1.0888,0.61832,1.00885,0.000388345,0.000388345,0.000388345
27,3653.62,1.18194,0.70388,1.02839,0.87245,0.79119,0.8458,0.55989,1.07878,0.61751,1.00547,0.000364443,0.000364443,0.000364443
28,3751.1,1.17207,0.6962,1.02741,0.87111,0.76534,0.86229,0.57038,1.06636,0.59792,0.99734,0.000340636,0.000340636,0.000340636
29,3886.51,1.15135,0.67422,1.01762,0.88918,0.81749,0.86924,0.57199,1.06197,0.59268,0.9982,0.000317017,0.000317017,0.000317017
30,4000.32,1.13537,0.66623,1.01142,0.8897,0.77758,0.85313,0.56549,1.03926,0.58158,0.98839,0.00029368,0.00029368,0.00029368
31,4099.3,1.12757,0.66337,1.00809,0.89482,0.84791,0.8899,0.60133,1.00996,0.56416,0.97726,0.000270716,0.000270716,0.000270716
32,4195.42,1.10698,0.64608,1.00042,0.86162,0.84656,0.87289,0.58205,0.99879,0.55714,0.97313,0.000248217,0.000248217,0.000248217
33,4300.14,1.09924,0.63773,0.99891,0.83647,0.86669,0.88452,0.60003,0.99445,0.55263,0.97035,0.00022627,0.00022627,0.00022627
34,4411.72,1.07261,0.62472,0.99203,0.88836,0.85598,0.90158,0.61615,0.96767,0.54024,0.96036,0.000204963,0.000204963,0.000204963
35,4507.88,1.07324,0.61479,0.98516,0.93268,0.82338,0.89091,0.6192,0.95894,0.53026,0.95722,0.00018438,0.00018438,0.00018438
36,4627.44,1.0587,0.60499,0.98075,0.94729,0.81641,0.90624,0.62019,0.95028,0.51885,0.95329,0.000164602,0.000164602,0.000164602
37,4726.7,1.05361,0.60779,0.98056,0.91429,0.83067,0.90223,0.61113,0.9361,0.50943,0.94945,0.000145706,0.000145706,0.000145706
38,4828.79,1.02902,0.59087,0.97413,0.91678,0.86145,0.91047,0.62709,0.93049,0.50812,0.94628,0.000127769,0.000127769,0.000127769
39,4964.65,1.02485,0.58785,0.97291,0.90725,0.86705,0.91666,0.63586,0.91591,0.50287,0.94201,0.000110859,0.000110859,0.000110859
40,5098.22,1.02126,0.58229,0.9729,0.93479,0.8616,0.9214,0.64471,0.89549,0.49124,0.93477,9.50453e-05,9.50453e-05,9.50453e-05
41,5238.72,0.99305,0.54251,0.96784,0.86786,0.88804,0.92381,0.62937,0.92261,0.4974,0.93995,8.03886e-05,8.03886e-05,8.03886e-05
42,5337.28,0.96165,0.52476,0.95946,0.91674,0.89897,0.93004,0.64426,0.89958,0.48836,0.9333,6.69474e-05,6.69474e-05,6.69474e-05
43,5435.14,0.94668,0.51275,0.95337,0.90185,0.90212,0.92849,0.64477,0.89381,0.48406,0.93141,5.47745e-05,5.47745e-05,5.47745e-05
44,5531.76,0.93524,0.50599,0.94856,0.92525,0.8975,0.93364,0.65054,0.87955,0.47569,0.92665,4.39181e-05,4.39181e-05,4.39181e-05
45,5630.8,0.93241,0.50404,0.94961,0.93466,0.8882,0.92962,0.64742,0.87603,0.4747,0.92543,3.44209e-05,3.44209e-05,3.44209e-05
46,5744.51,0.91909,0.5004,0.94749,0.92601,0.89796,0.93396,0.65505,0.86852,0.4727,0.9233,2.63206e-05,2.63206e-05,2.63206e-05
47,5852.99,0.91539,0.49814,0.94219,0.94105,0.88831,0.93325,0.64987,0.86607,0.46973,0.9221,1.9649e-05,1.9649e-05,1.9649e-05
48,5949.5,0.90823,0.49229,0.9386,0.93389,0.89014,0.93272,0.6578,0.86179,0.46775,0.92112,1.44324e-05,1.44324e-05,1.44324e-05
49,6064.08,0.90857,0.49194,0.94131,0.9343,0.89316,0.93423,0.65489,0.85559,0.46401,0.9193,1.06916e-05,1.06916e-05,1.06916e-05
50,6162.99,0.90887,0.49275,0.93991,0.93507,0.89278,0.93411,0.65628,0.856,0.46437,0.91969,8.44114e-06,8.44114e-06,8.44114e-06
